order_id,customer_id,date,pizza_type,store_id,toppings
1,1,2023-09-02,1,1,1/3/6/7/8
2,2,2023-09-05,2,2,4/5/11/13
3,3,2023-09-07,3,3,2/6/9/11/12/15
4,4,2023-09-10,1,4,3/7/8/11
5,5,2023-09-12,2,5,1/4/6/8
6,1,2023-09-15,3,1,2/5/7/9/11/12/14
7,2,2023-09-18,1,2,1/6/7
8,3,2023-09-21,2,3,2/4/9/13
9,4,2023-09-24,3,4,3/5/7/8/15
10,5,2023-09-27,1,5,1/3/6/11
11,1,2023-09-30,2,1,2/4/7/9/13
12,2,2023-10-03,3,2,3/5/6/8/11/12/14
13,3,2023-10-06,1,3,1/4/9
14,4,2023-10-09,2,4,2/5/7/11/13
15,5,2023-10-12,3,5,3/6/8/15
16,1,2023-10-15,1,1,2/4/11
17,2,2023-10-18,2,2,3/6/7/8/12
18,3,2023-10-21,3,3,1/2/5/9/13/14
19,4,2023-10-24,1,4,3/4/7/11
20,5,2023-10-27,2,5,1/6/8/15
21,1,2023-10-30,3,1,2/3/5/9/12
22,2,2023-11-02,1,2,1/4/6/13
23,3,2023-11-05,2,3,2/5/7/8/15
24,4,2023-11-08,3,4,3/6/11/12/14
25,5,2023-11-11,1,5,1/2/7
26,1,2023-11-14,2,1,2/4/5/9/13
27,2,2023-11-17,3,2,3/6/7/8/15
28,3,2023-11-20,1,3,1/5/11
29,4,2023-11-23,2,4,2/4/6/12
30,5,2023-11-26,3,5,3/2/7/8/13
31,1,2023-09-02,1,1,4/5/6
32,2,2023-09-05,2,2,3/7/8/11
33,3,2023-09-07,3,3,1/2/4/9/13/14
34,4,2023-09-10,1,4,5/6/7/11
35,5,2023-09-12,2,5,4/8/12/15
36,1,2023-09-15,3,1,3/5/6/9/13/14
37,2,2023-09-18,1,2,2/4/7
38,3,2023-09-21,2,3,1/6/8/15
39,4,2023-09-24,3,4,3/5/9/11/12/14
40,5,2023-09-27,1,5,2/7/8
41,1,2023-09-30,2,1,4/6/11/13
42,2,2023-10-03,3,2,3/5/7/9/12/15
43,3,2023-10-06,1,3,1/2/4
44,4,2023-10-09,2,4,5/6/8/11/13
45,5,2023-10-12,3,5,2/3/7/9/15
46,1,2023-10-15,1,1,4/6/9/12/14
47,2,2023-10-18,2,2,3/5/8/11
48,3,2023-10-21,3,3,1/2/4/7/13/15
49,4,2023-10-24,1,4,2/6/9
50,5,2023-10-27,2,5,1/3/7/11/12/14
51,1,2023-10-30,3,1,4/5/8/15
52,2,2023-11-02,1,2,3/6/9
53,3,2023-11-05,2,3,1/2/7/11
54,4,2023-11-08,3,4,5/8/12/13
55,5,2023-11-11,1,5,2/4/6
56,1,2023-11-14,2,1,3/5/9/15
57,2,2023-11-17,3,2,4/7/11/12
58,3,2023-11-20,1,3,1/2/8
59,4,2023-11-23,2,4,5/6/9/13
60,5,2023-11-26,3,5,3/4/7/12/14
61,1,2023-09-02,1,1,2/6/8
62,2,2023-09-05,2,2,3/5/7/9/12
63,3,2023-09-07,3,3,1/2/4/6/8/11/13
64,4,2023-09-10,1,4,5/6/7/9/12/15